start_node,end_node,link_no,name,length,total_traffic,traffic_score,betweenness_score,economic_score,criticality_score,criticality_rank
"89.3797216,24.815","89.3625,24.8219438",N5-32,Int. with N514-Bogra Station Rd. (N502),1.932,13120.0,0.16076461217987992,0.8437225636523266,0.3698932926829268,0.6253935118514775,12.0
"89.3824993,24.8083333","89.3797216,24.815",N5-31,Banani (Bogra) )Z5040 -Int. with N514,0.79,13120.0,0.16076461217987992,0.8331870061457418,0.3698932926829268,0.6211792888488437,13.0
"89.3837497,24.8058889","89.3824993,24.8083333",N5-30,"Int.with N515,Sultanganj -Banani (Bogra)Z5040",0.33,13120.0,0.16076461217987992,0.8208955223880596,0.3698932926829268,0.6162626953457708,14.0
"89.4168882,24.6694438","89.3837497,24.8058889",N5-29,"Sherpur (Int.with Z5034) -Int.with N515,Sultanganj",16.036,13120.0,0.16076461217987992,0.80684811237928,0.3698932926829268,0.6106437313422589,15.0
"89.4202771,24.6630556","89.4168882,24.6694438",N5-28,Sherpur (Int.with Z5401)-Sherpur (Int.with Z5034),0.804,13120.0,0.16076461217987992,0.7910447761194029,0.3698932926829268,0.604322396838308,16.0
"89.3532222,25.2812493","89.3161389,25.4173604",N5-45,"Palashbari, R555 -Pirganj (Int.with Z5075)",16.14,6116.0,0.0749417963484867,0.887620719929763,0.3327338129496403,0.6000954093921874,17.0
"89.4369441,24.626666","89.4202771,24.6630556",N5-27,Sherpur (Int.with Z5049)-Sherpur (Int.with Z5401),4.56,13120.0,0.16076461217987992,0.7734855136084284,0.3698932926829268,0.5972986918339183,18.0
"89.3161389,25.4173604","89.31025,25.4261938",N5-46,Pirganj (Int.with Z5075)-Pirganj (Int.with Z5074),1.145,6116.0,0.0749417963484867,0.8683055311676909,0.3327338129496403,0.5923693338873586,19.0
"89.31025,25.4261938","89.2733327,25.5802771",N5-47,"Pirganj (Int.with Z5074) -Mithapukur , R556",17.639,10629.0,0.13024139198627618,0.8472344161545214,0.26248941574936496,0.5464324366217699,20.0
"89.2733327,25.5802771","89.2609444,25.7095",N5-48,"Mithapukur , R556 -Rangpur Modern More , N517",14.65,8195.0,0.10041661561083201,0.8244073748902546,0.2791946308724832,0.5428869821309862,21.0
"89.2609444,25.7095","89.2330827,25.7423608",N5-49,"Rangpur Modern More, N517 -Rangpur Bus Terminal , Z5025",4.905,10629.0,0.13024139198627618,0.7998244073748902,0.26248941574936496,0.5274684331099173,22.0
"89.2330827,25.7423608","89.2313327,25.7648333",N5-50R,"Rangpur Bus Terminal, Z5025 - Medical Mor, int with N517 (Right)",2.525,8195.0,0.10041661561083201,0.7734855136084284,0.2791946308724832,0.5225182376182557,23.0
"89.5111111,24.5399997","89.4369441,24.626666",N5-26,"Chandaikona, Z5042-Sherpur (Int.with Z5049)",13.0,8261.0,0.10122534003185885,0.7541703248463564,0.27587459145381915,0.5126583658496557,24.0
"89.2313327,25.7648333","89.1895274,25.8006389",N5-51,"Medical Mor, int with N517-Uttom More (Hazirhat) Z5020",5.91,8195.0,0.10041661561083201,0.7453906935908692,0.2791946308724832,0.5112803096112319,25.0
"89.5079167,24.4941941","89.5111111,24.5399997",N5-25,"Bhuyangati Z5041 -Chandaikona, Z5042",5.128,8261.0,0.10122534003185885,0.733099209833187,0.27587459145381915,0.504229919844388,26.0
"89.5518333,24.4189716","89.5079167,24.4941941",N5-24,"Hatikamrul (Int.with N405, N507) l-Bhuyangati Z5041",10.142,8261.0,0.10122534003185885,0.7102721685689201,0.27587459145381915,0.4950991033386812,27.0
"89.5613333,24.3452219","89.5518333,24.4189716",N5-23,"Bhutgacha (Int.with Z5403)-Hatikamrul (Int.with N405, N507)",8.929,8261.0,0.10122534003185885,0.6856892010535557,0.27587459145381915,0.48526591633253546,28.0
"89.1895274,25.8006389","89.1470552,25.8111944",N5-52,Uttom More (Hazirhat)Z5020-Int.with R560,4.422,8195.0,0.10041661561083201,0.6707638279192274,0.2791946308724832,0.48142956334257525,29.0
"89.5625,24.3249993","89.5613333,24.3452219",N5-22,Ullahpara (Int.with Z5046)-Bhutgacha (Z5403),2.263,8261.0,0.10122534003185885,0.659350307287094,0.27587459145381915,0.47473035882595077,30.0
"91.41,22.9877774","91.4761382,22.9483608",N1-30R,Feni Shahid Minar( Int.with Z1034)-Fazilpur (Z1081) (Right),8.396,11322.0,0.13873299840705797,0.09043020193151886,0.578519696166755,0.4639186804540192,31.0
"89.5633333,24.3075","89.5625,24.3249993",N5-21,Ullahpara (Int.with Z5048)-Ullahpara (Int.with Z5046),1.908,8261.0,0.10122534003185885,0.6312554872695346,0.27587459145381915,0.46349243081892705,32.0
"89.5758327,24.2771104","89.5633333,24.3075",N5-20,"Paik Para, Int.with Z5058-Ullahpara (Int.with Z5048)",3.829,8261.0,0.10122534003185885,0.6014047410008779,0.27587459145381915,0.45155213231146435,33.0
"91.3137222,23.221416","91.3616667,23.0614722",N1-25R,Chauddagram(Int.with Z1045)-Md. Ali bazar (Int.with Z1031) (Right),19.171,9026.0,0.11059919127557898,0.09394205443371378,0.5649235541768225,0.4502960176096691,34.0
"89.0061111,25.8111111","88.9161111,25.7808049",N5-54,"Taraganj (Int.with Z5015)-Sayedpur , N518",9.922,6338.0,0.07766205121921334,0.604038630377524,0.2773745661091827,0.4489301425468014,35.0
"91.3616667,23.0614722","91.3651389,23.0479441",N1-26R,Md. Ali bazar (Int.with Z1031)-Int.with Z1031 (Right),1.382,9026.0,0.11059919127557898,0.08691834942932397,0.5649235541768225,0.4474865356079132,36.0
"91.4761382,22.9483608","91.5108611,22.9439441",N1-31R,Fazilpur Z1081 - Muhuriganj Z1032 (Right),3.897,14847.0,0.1819262345300821,0.09394205443371378,0.5376170270088233,0.44568115141500714,37.0
"91.271166,23.3347219","91.3137222,23.221416",N1-24R,Miabazar Z1046 - Chauddagram(Int.with Z1045) (Right),13.819,11956.0,0.14650165420904301,0.06760316066725197,0.5613081298093008,0.4444411765255585,38.0
"91.3813604,23.0095556","91.41,22.9877774",N1-29R,Feni (Int.with N104) - Feni Shahid Minar (Int.with Z1034) (Right),3.88,14847.0,0.1819262345300821,0.0851624231782265,0.5376170270088233,0.4421692989128122,39.0
"89.5863886,24.1733327","89.5758327,24.2771104",N5-19,"Shahazadpur (Int. with Z5410)-Paik Para, Int.with Z5058",12.799,8261.0,0.10122534003185885,0.5697980684811238,0.27587459145381915,0.4389094633035627,40.0
"90.7172216,23.5314716","90.7821938,23.530666",N1-12R,Daudkandi Z1062 - Pennai Z1053 (Right),6.922,11583.0,0.14193113589020953,0.12554872695346794,0.5164465164465164,0.4356870895140831,41.0
"90.7924441,23.5306938","90.871416,23.5126667",N1-14R,Gouripur (Int.with Z1044) - Eliotganj Z1042 (Right),8.253,11681.0,0.1431319691214312,0.09745390693590869,0.5322318294666553,0.4356036068717166,42.0
"90.7821938,23.530666","90.7924441,23.5306938",N1-13R,Pennai Z1053- Gouripur (Int.with Z1044) (Right),1.836,11583.0,0.14193113589020953,0.12467076382791922,0.5164465164465164,0.4353359042638636,43.0
"91.1721938,23.4191382","91.271166,23.3347219",N1-23R,Paduar Bazar Biswa Rd. R140 - Miabazar Z1046 (Right),14.296,11956.0,0.14650165420904301,0.03424056189640035,0.5613081298093008,0.43109613701721783,44.0
"90.871416,23.5126667","90.9354719,23.5043333",N1-15R,Eliotganj Z1042- Madhaya Z1017 (Right),6.801,11583.0,0.14193113589020953,0.0913081650570676,0.5164465164465164,0.42199086475552294,45.0
"88.8862497,25.8063889","88.8762771,25.7733882",N5-56,WAPDA More (Int.with R570)-Sonapukur (Int.with N518),4.175,6338.0,0.07766205121921334,0.530289727831431,0.2773745661091827,0.4194305815283642,46.0
"90.9354719,23.5043333","91.0034722,23.4893886",N1-16R,Madhaya Z1017 - Chandina Z1022 (Right),7.36,11583.0,0.14193113589020953,0.08340649692712905,0.5164465164465164,0.4188301975035475,47.0
"91.6280827,22.6733049","91.6799438,22.580666",N1-35R,Baroirdala Z1086- Barabkunda Z1087 (Right),11.799,15679.0,0.19212106359514766,0.07901668129938542,0.5040500031889789,0.4185410614895085,48.0
"88.4454441,24.3976663","88.3476386,24.446083",N6-22,Bijoynagar(Int.with R681)-Uzanpara (Int.with R681),11.704,5278.0,0.06467344688150962,0.25021949078138717,0.43842364532019706,0.41615729560123976,49.0
"91.6799438,22.580666","91.7573333,22.3996108",N1-36R,Barabkunda Z1087-Fouzderhat Z1016 (Right),22.004,15679.0,0.19212106359514766,0.07287093942054433,0.5040500031889789,0.41608276473797207,50.0
"91.3655278,23.0248327","91.3813604,23.0095556",N1-28R,Elahiganj (Feni) Z1030- Feni (Int.with N104) (Right),2.375,12496.0,0.15311849038108075,0.07813871817383669,0.5120838668373879,0.4159441343737145,51.0
"90.5406386,23.8346386","90.49766961975308,23.885501909259258",N105-4,Purbachal Road- Ulukhola (Int.with Z3010),7.389,9256.0,0.11341747334885431,0.009657594381035995,0.5607173725151253,0.41423765252088746,52.0
"90.49766961975308,23.885501909259258","90.4530278,23.9298327",N105-5,Ulukhola (Int.with Z3010)-Mirer Bazar (Int.with R301),7.548,9256.0,0.11341747334885431,0.007901668129938543,0.5607173725151253,0.4135352820204485,53.0
"88.3476386,24.446083","88.3237493,24.4684993",N6-23,Uzanpara (Int.with R681) Godagari (Int.with Z6813),3.605,5278.0,0.06467344688150962,0.24143985952589994,0.43842364532019706,0.41264544309904483,54.0
"90.4530278,23.9298327","90.3805549,23.9774993",N105-6,Mirer Bazar (Int.with R301)-Vogra Bypass(Int.with N3),9.84,9256.0,0.11341747334885431,0.004389815627743634,0.5607173725151253,0.41213054101957053,55.0
"89.1099722,23.8907219","89.0892219,23.9319716",N704-6,"Chowrhash More (Int.with R710) -Trimohoni, Kushtia (Int.with R745)",6.608,10711.0,0.13124617081240045,0.3081650570676031,0.3776491457380263,0.41062937167934943,56.0
"88.3237493,24.4684993","88.2820271,24.5915552",N6-24,"Godagari (Int.with Z6813)-Bishaw road more, Bus Terminal,Nawabganj",15.305,5278.0,0.06467344688150962,0.23090430201931517,0.43842364532019706,0.408431220096411,57.0
"91.3651389,23.0479441","91.3655278,23.0248327",N1-27R,Int.with Z1031 - Elahiganj (Feni) Z1030 (Right),2.783,14584.0,0.17870359024629334,0.1044776119402985,0.4780581459133297,0.408070653086796,58.0
"88.8762771,25.7733882","88.7844441,25.7743882",N5-57,"Sonapukur (Int.with N518)-Ranirbandar, Z5005",9.382,6338.0,0.07766205121921334,0.4907813871817383,0.2773745661091827,0.40362724526848714,59.0
"90.6121944,23.6095556","90.6559444,23.5590278",N1-9R,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Right),7.372,14822.0,0.18161989952211738,0.11764705882352941,0.4577654837403859,0.39989094431375277,60.0
"88.5450552,24.3830271","88.5446663,24.3832216",N6-20,Kashiadanga(Int.with N603)-Kashiadanga(Int.with Z6809),0.05,7409.0,0.09078544296042151,0.26251097453906935,0.39465514914293426,0.39603388137542517,61.0
"88.5446663,24.3832216","88.4454441,24.3976663",N6-21,Kashiadanga(Int.with Z6809)-Bijoynagar(Int.with R681),10.941,7409.0,0.09078544296042151,0.257243195785777,0.39465514914293426,0.3939267698741082,62.0
"91.0034722,23.4893886","91.0590278,23.4815271",N1-17R,Chandina Z1022 - Nimsar (Int.with Z1219 & Z1028) (Right),5.951,14213.0,0.17415757872809703,0.07374890254609305,0.4716808555547738,0.390460581899394,63.0
"90.5688049,23.7851941","90.5406386,23.8346386",N105-3,Bhulta (Int.with N2)-Purbachal Road,8.418,11834.0,0.14500673937017522,0.009657594381035995,0.5133513604867331,0.38780570491993294,64.0
"88.7844441,25.7743882","88.6738049,25.7565",N5-58,"Ranirbandar, Z5005 -Beldanga, N508",12.58,6338.0,0.07766205121921334,0.4495171202809482,0.2773745661091827,0.38712153850817105,65.0
"91.0590278,23.4815271","91.118166,23.4789716",N1-18R,Nimsar (Int.with Z1219 & Z1028) - Mainamati N102 (Right),6.257,14213.0,0.17415757872809703,0.06233538191395961,0.4716808555547738,0.3858951736465406,66.0
"89.1470552,25.8111944","89.0061111,25.8111111",N5-53,Int.with R560- Taraganj (Int.with Z5015),14.088,7899.0,0.09678960911652984,0.6382791922739245,0.15698189644258767,0.38320999760450797,67.0
"90.6952219,23.529916","90.7172216,23.5314716",N1-11R,Daudkandi Bridge- Daudkandi Z1062 (Right),2.195,14551.0,0.17829922803577994,0.12467076382791922,0.42938629647446913,0.38241435869154133,68.0
"90.6559444,23.5590278","90.6952219,23.529916",N1-10R,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Right),5.335,14551.0,0.17829922803577994,0.12203687445127304,0.42938629647446913,0.38136080294088287,69.0
"91.118166,23.4789716","91.142333,23.459",N1-19R,Mainamati N102- Int.with Z1029 (Right),4.051,14213.0,0.17415757872809703,0.049165935030728705,0.4716808555547738,0.38062739489324826,70.0
"91.5346941,22.8939997","91.5713327,22.7771104",N1-33R,Baraiyerhat R151- Mirersarai Z1021 (Right),13.781,12098.0,0.14824163705428256,0.09569798068481122,0.4504050256240701,0.3793464937376495,71.5
"91.5108611,22.9439441","91.5346941,22.8939997",N1-32R,Muhuriganj Z1032-Baraiyerhat R151 (Right),6.101,12098.0,0.14824163705428256,0.09569798068481122,0.4504050256240701,0.3793464937376495,71.5
"91.5713327,22.7771104","91.6280827,22.6733049",N1-34R,Mirersarai Z1021 - Baroirdala Z1086 (Right),13.139,12098.0,0.14824163705428256,0.09394205443371378,0.4504050256240701,0.37864412323721053,73.0
"90.5948052,23.6358608","90.6121944,23.6095556",N1-8R,Mograpara(Int.with Z1089)-Meghna Bridge West End (Left) (Right),3.52,14551.0,0.17829922803577994,0.11150131694468832,0.42938629647446913,0.37714657993824896,74.0
"91.142333,23.459","91.1481386,23.4469441",N1-20R,Int.with Z1029 - Int.with Z1052 (Right),1.469,14213.0,0.17415757872809703,0.01755926251097454,0.4716808555547738,0.3679847258853466,75.0
"88.9570556,24.4063889","88.8391663,24.3721382",N6-15,Bus Stand(Int.with N602)-Puthia (Int.with Z6019),13.42,10380.0,0.12719029530694767,0.26251097453906935,0.32533718689788055,0.35538703697215035,76.0
"88.9161111,25.7808049","88.8862497,25.8063889",N5-55,"Sayedpur, N518 - WAPDA More (Int.with R570)",4.708,7899.0,0.09678960911652984,0.5680421422300262,0.15698189644258767,0.3551151775869487,77.0
"88.8391663,24.3721382","88.7550556,24.3667216",N6-16,Puthia (Int.with Z6019)-Baneswar (Int.with Z6006),9.836,10680.0,0.1308663154025242,0.2660228270412643,0.3184456928838951,0.3527620662531302,78.0
"89.0705827,24.3443052","89.0076389,24.4103889",N6-13,Ahmedpur (Int. with Z6015)-Harishpur (Int.with N602 ),10.58,10380.0,0.12719029530694767,0.25021949078138717,0.32533718689788055,0.35047044346907746,79.0
"90.5671104,23.6604167","90.5948052,23.6358608",N1-7R,Langalband - Mograpara Chowrasta (Left)Z1089 (Right),4.109,23879.0,0.2925989462075726,0.10359964881474977,0.36086100757988193,0.3494661115350128,80.0
"89.0076389,24.4103889","88.9570556,24.4063889",N6-14,Harishpur (Int.with N602 )-Bus Stand(Int.with N602),5.63,10680.0,0.1308663154025242,0.257243195785777,0.3184456928838951,0.34925021375093535,81.0
"90.546583,23.6904163","90.5671104,23.6604167",N1-6R,Madanpur - Langalband (Left)Z1061 (Right),3.999,23879.0,0.2925989462075726,0.09394205443371378,0.36086100757988193,0.34560307378259836,82.0
"89.0921663,23.8800827","89.1099722,23.8907219",N704-5,"Bottoli More (Kushtia,Int.with R747)-Chowrhash More (Int.with R710)",2.208,10711.0,0.13124617081240045,0.14135206321334504,0.3776491457380263,0.3439041741376462,83.0
"89.1654444,23.2180827","89.1911663,23.1810549",N7-19,Churamonkathi Bazar ( Z7031)-Palbari (Int.with N707),4.979,7771.0,0.09522117387575052,0.21597892888498682,0.34409985844807617,0.34335327792298415,84.0
"90.4008333,23.8943052","90.3886386,23.891333",R303-1,Start from int.with N2 - end at Ranabhola (int.with N302),1.401,23157.0,0.2837519911775518,0.0,0.4110636092758129,0.34096793620319,85.0
"89.1381663,23.3808327","89.1654444,23.2180827",N7-18,Dulal Mondia Bazar Z7057 -Churamonkathi Bazar ( Z7031),18.694,7771.0,0.09522117387575052,0.20983318700614575,0.34409985844807617,0.34089498117144773,86.0
"91.8461663,24.8607778","91.824666,24.9129167",R283-1,"Amedpur (link road start, int with N2) - Kumargoan (link end, int with R280)",6.625,3078.0,0.037715966180615124,0.0,0.48180636777128005,0.3406736784823174,87.0
"90.5877774,23.7314716","90.5688049,23.7851941",N105-2,"Nayapur, Bostail(Int.with R114)-Bhulta (Int.with N2)",6.494,11587.0,0.14198014949148388,0.007901668129938543,0.4461896953482351,0.3400611081873847,88.0
"89.1553611,23.7188882","89.0921663,23.8800827",N704-4,"Shekhpara(Int.with Z7405)-Bottoli More (Kushtia,Int.with R747)",20.035,10711.0,0.13124617081240045,0.12818261633011413,0.3776491457380263,0.33863639538435375,89.0
"89.1350552,23.4085556","89.1381663,23.3808327",N7-17,Kaliganj Bus stand (Int.with R748)-Dulal Mondia Bazar Z7057,3.09,7771.0,0.09522117387575052,0.2019315188762072,0.34409985844807617,0.3377343139194723,90.0
"91.0460552,23.2705271","90.9948886,23.262",R140-7,Mudaffarganj(int.with Z1414)-Jagatpur(int.with Z1401),5.357,5200.0,0.06371768165665972,0.054433713784021065,0.43673076923076926,0.3364813436300255,91.0
"91.0843608,23.3105556","91.0460552,23.2705271",R140-6,Bijrabazar(int.with Z1047)-Mudaffarganj(int.with Z1414),6.01,5200.0,0.06371768165665972,0.051799824407374885,0.43673076923076926,0.33542778787936706,92.0
"91.1385274,23.3540833","91.0843608,23.3105556",R140-5,Mogbari(int.with Z1401)-Bijrabazar(int.with Z1047),7.475,5200.0,0.06371768165665972,0.047410008779631245,0.43673076923076926,0.3336718616282696,93.0
"89.1775827,23.5850274","89.1553611,23.7188882",N704-3,Amtali (Int.with Z7404)-Shekhpara (Int.with Z7405),16.725,10711.0,0.13124617081240045,0.11150131694468832,0.3776491457380263,0.3319638756301835,94.0
"90.443333,23.7060278","90.4504722,23.7027778",N1-1R,Jatrabari - Int.with Z1101 (Left) (Right),0.822,21537.0,0.26390148266143854,0.019315188762071996,0.38858708269489717,0.3291831934277501,95.0
"90.4504722,23.7027778","90.4805271,23.6938052",N1-2R,Int.with Z1101 - Signboard (Left) R111 (Right),3.353,19357.0,0.23718906996691583,0.03775241439859525,0.38182569613059875,0.32654064427744045,96.0
"89.0892219,23.9319716","89.0156944,24.0201382",N704-7,"Trimohoni, Kushtia (Int.with R745)-Int.with Z7411 (Bheramara)",14.26,10711.0,0.13124617081240045,0.09745390693590869,0.3776491457380263,0.3263449116266716,97.0
"89.1740827,23.5537222","89.1775827,23.5850274",N704-2,Arappur (Int.with N7)-Amtali (Int.with Z7404),3.54,10711.0,0.13124617081240045,0.0913081650570676,0.3776491457380263,0.32388661487513515,98.0
"88.6738049,25.7565","88.6552222,25.8546944",N5-59,"Beldanga, N508 -Birganj (Int.with Z5007)",11.97,4505.0,0.05520156843524078,0.40649692712906055,0.21376248612652607,0.321438710060781,99.0
"90.5134167,23.7249438","90.5402774,23.7466386",N2-2,Tarabo(Int with R 201)-Barpa(Int. with Z1090 LGED Road),3.763,17957.0,0.22003430952089204,0.02370500438981563,0.3795177368157265,0.31589495930759504,100.0
"90.4011389,23.8805827","90.3884441,23.891583",N302-1,Abdullahpur-Rana Bhola (Int.with R303),2.375,27417.0,0.3359514765347384,0.004389815627743634,0.3564576722471459,0.3154081308821481,101.0
"89.0156944,24.0201382","89.01225,24.0404441",N704-8,Int.with Z7411 (Bheramara)-Int.with Z7409 (Bheramara),2.377,10711.0,0.13124617081240045,0.06496927129060578,0.3776491457380263,0.31335105736855046,102.0
"89.2931663,24.3481108","89.1511667,24.3170827",N507-4,Int.with Z5209-Laxmikul (Int.with Z6015),15.22,5254.0,0.0643793652738635,0.016681299385425813,0.424628854206319,0.31314521035544346,103.0
"89.3623611,24.3671104","89.2931663,24.3481108",N507-3,Hamkuria (Int.with R604 and Z6034)-Int.with Z5209,7.75,5254.0,0.0643793652738635,0.014925373134328358,0.424628854206319,0.31244283985500443,104.0
"90.5215271,23.7060833","90.546583,23.6904163",N1-5R,Katchpur - Madanpur (Left)N105 (Right),3.173,24589.0,0.30129886043377035,0.08252853380158032,0.31693033470250925,0.3124031092410845,105.0
"89.4122778,24.3796382","89.3623611,24.3671104",N507-2,Int.with Z5046-Hamkuria (Int.with R604 and Z6034),5.32,5254.0,0.0643793652738635,0.013169446883230903,0.424628854206319,0.31174046935456545,106.0
"89.5518056,24.4192216","89.4122778,24.3796382",N507-1,Hatikamrul (Int.with N5)-Int.with Z5046,15.04,5254.0,0.0643793652738635,0.007023705004389816,0.424628854206319,0.30928217260302904,107.0
"92.06108684571824,21.89646793301105","92.0689993,21.8322216",N1-54,Harbang (Int.with Z1124) - Ekatabazar Z1125,7.486,12623.0,0.15467467222154146,0.19929762949956104,0.2868573239325042,0.30899283336253347,108.0
"89.1728604,23.5456941","89.1740827,23.5537222",N704-1,Jhenaidah(Bata More)-Arappur (Int.with N7),0.922,10711.0,0.13124617081240045,0.053555750658472345,0.3776491457380263,0.30878564911569706,109.0
"90.1545833,23.9179716","90.0388886,23.9001389",N5-6,Kalampur Bus Stand(Int.with Z5061) -Golra (Int.with Z5063),12.318,11498.0,0.14088959686312952,0.025460930640913083,0.3909375543572795,0.3086642757775785,110.5
"90.2121944,23.9078611","90.1545833,23.9179716",N5-5,Dulivita(Int.with R315) -Kalampur Bus Stand (Int.with Z5061),6.105,11498.0,0.14088959686312952,0.025460930640913083,0.3909375543572795,0.3086642757775785,110.5
"89.1511667,24.3170827","89.0806382,24.2984719",N507-5,Laxmikul (Int.with Z6015)-Banpara,6.92,5254.0,0.0643793652738635,0.004389815627743634,0.424628854206319,0.3082286168523706,112.0
"90.2584722,23.9132778","90.2121944,23.9078611",N5-4,Nabinagar(Int.with N540)-Dulivita (Int.with R315),4.732,11498.0,0.14088959686312952,0.02370500438981563,0.3909375543572795,0.3079619052771395,113.5
"90.0388886,23.9001389","89.9988052,23.8706938",N5-7,Golra(Int.with Z5063) -Manikganj (Int.with R504),5.757,11498.0,0.14088959686312952,0.02370500438981563,0.3909375543572795,0.3079619052771395,113.5
"89.1979997,23.1448052","88.9993886,23.0581111",N706-2,Chanchra More( Int with N7)-Navaron ( Int with R765),23.17,5707.0,0.06993015561818404,0.0026338893766461808,0.4217627475030664,0.3066547213616063,115.0
"89.9988052,23.8706938","89.9523611,23.8495552",N5-8,Manikganj (Int.with R504) -Baniajuri (Int.with Z5064),6.12,11498.0,0.14088959686312952,0.02019315188762072,0.3909375543572795,0.30655716427626156,116.0
"88.9993886,23.0581111","88.8841663,23.0389441",N706-3,Navaron ( Int With R765)- Benapole,12.2,5707.0,0.06993015561818404,0.0017559262510974535,0.4217627475030664,0.30630353611138683,117.0
"92.0657222,21.9720827","92.0611667,21.9031667",N1-52,Chunati R171 - Aziznagar Z1007,8.146,12623.0,0.15467467222154146,0.1922739244951712,0.2868573239325042,0.30618335136077757,118.5
"92.0611667,21.9031667","92.06108684571824,21.89646793301105",N1-53,Aziznagar (Int.with Z1007)-Harbang (Int.with Z1124),0.628,12623.0,0.15467467222154146,0.1922739244951712,0.2868573239325042,0.30618335136077757,118.5
"89.01225,24.0404441","89.0661667,24.0756938",N704-9,Int.with Z7409 (Bheramara)-Ruppur(Int.with N705),7.599,10711.0,0.13124617081240045,0.04389815627743634,0.3776491457380263,0.3049226113632827,120.0
"89.9523611,23.8495552","89.8720827,23.8348886",N5-9,Baniajuri (Int.with Z5064) -Barangail (Int.with R506),8.41,11498.0,0.14088959686312952,0.014925373134328358,0.3909375543572795,0.30445005277494464,121.0
"89.3871941,25.136333","89.3453886,25.1535556",R585-1,Gobindaganj-Kata(Int.with Z5855),4.675,7961.0,0.09754931993628232,0.010535557506584723,0.40522547418665994,0.3039050224855462,122.0
"88.6552222,25.8546944","88.6543056,25.8623056",N5-60,Birganj (Int.with Z5007) - Birganj (Int.with Z5008),0.79,4505.0,0.05520156843524078,0.36172080772607546,0.21376248612652607,0.30352826229958696,123.0
"89.2373052,23.1431386","89.25025,23.1388608",N7-22,Murail (Int.with N707) - Rajarhat R755,1.5,10638.0,0.13035167258914349,0.22388059701492538,0.26931754089114496,0.3018340663295725,124.0
"92.1078333,22.0449719","92.0657222,21.9720827",N1-51,"Lohagara, Bara Aulia (Int.with Z1013) - Chunati R171",10.141,12623.0,0.15467467222154146,0.18086040386303776,0.2868573239325042,0.30161794310792417,125.0
"89.6078611,23.7541111","89.575666,23.7973052",R711-1,Bagmara(Int.with R710)-Joukura Ferryghat,6.48,4490.0,0.05501776743046195,0.0,0.4202672605790646,0.3015846786327287,126.0
"89.1967219,23.1445552","89.2373052,23.1431386",N7-21,Chanchra More (Int.with N706) -Murail (Int.with N707),4.317,10638.0,0.13035167258914349,0.22300263388937666,0.26931754089114496,0.301482881079353,127.5
"89.25025,23.1388608","89.3534444,23.097083",N7-23,Rajarhat R755- Prembag (Int.with Z7049),14.09,10638.0,0.13035167258914349,0.22300263388937666,0.26931754089114496,0.301482881079353,127.5
"89.1911663,23.1810549","89.1967219,23.1445552",N7-20,Palbari (Int.with N707)-Chanchra More (Int.with N706),4.14,10638.0,0.13035167258914349,0.22036874451273047,0.26931754089114496,0.30042932532869454,129.5
